team_name,team_id,team_country,team_league
Vejle Boldklub,443,Denmark,1.Division
Znamya Truda Orekhovo-Zuevo,12444,Russia,1.Division
FK Chelyabinsk,23110,Russia,1.Division
Energia Volzhsky (-2014),12066,Russia,1.Division
Zenit St. Petersburg,964,Russia,1.Division
Kuban Krasnodar (-2018),2439,Russia,1.Division
Amur Blagoveschensk (-2009),12040,Russia,1.Division
Torpedo Taganrog ( - 2004),82456,Russia,1.Division
Sibir Novosibirsk (- 2019),10688,Russia,1.Division
Fakel Voronezh,1124,Russia,1.Division
FK Tyumen,12054,Russia,1.Division
Baltika Kaliningrad,2741,Russia,1.Division
FK Anapa,73702,Russia,1.Division
Avtodor Vladikavkaz,6405,Russia,1.Division
Rubin Kazan,2698,Russia,1.Division
Uralets Nizhniy Tagil,6430,Russia,1.Division
Zarya Leninsk-Kuznetskiy,12442,Russia,1.Division
Torpedo Vladimir,12065,Russia,1.Division
Dinamo Vologda (-2014),13640,Russia,1.Division
Olymp Kislovodsk,22805,Russia,1.Division
APK Morozovsk,85725,Russia,1.Division
Nart Cherkessk,15122,Russia,1.Division
Chernomorets Novorossijsk,5287,Russia,1.Division
UOR-SShOR Yoshkar-Ola,45323,Russia,1.Division
Spartak Ryazan (- 2000),96640,Russia,1.Division
FK Chita (-2022),12049,Russia,1.Division
Shinnik Yaroslavl,2374,Russia,1.Division
Akhmat Grozny,3725,Russia,1.Division
Iskenderunspor (- 2007),66622,Turkey,1.Lig
Göztepe,1467,Turkey,1.Lig
Boluspor,3207,Turkey,1.Lig
Erzurumspor,1766,Turkey,1.Lig
Akcaabat Sebatspor,1511,Turkey,1.Lig
Ispartaspor,11095,Turkey,1.Lig
Bandirmaspor,20760,Turkey,1.Lig
Mudurnuspor,23681,Turkey,1.Lig
Balikesirspor,20698,Turkey,1.Lig
Antalyaspor,589,Turkey,1.Lig
Tarsus Idman Yurdu,12399,Turkey,1.Lig
Orduspor,2323,Turkey,1.Lig
Gaziosmanpasa,2324,Turkey,1.Lig
Adana Demirspor,3840,Turkey,1.Lig
Manisaspor,1267,Turkey,1.Lig
Caykur Rizespor,126,Turkey,1.Lig
Adanaspor,6,Turkey,1.Lig
Inegölspor,2319,Turkey,1.Lig
Istanbulspor,924,Turkey,1.Lig
Zeytinburnuspor,5745,Turkey,1.Lig
Siirtspor,1291,Turkey,1.Lig
Samsunspor,152,Turkey,1.Lig
Muglaspor,2378,Turkey,1.Lig
Kahramanmarasspor,12452,Turkey,1.Lig
Fortuna Düsseldorf,38,Germany,2. Bundesliga
MSV Duisburg,52,Germany,2. Bundesliga
SV Waldhof Mannheim,85,Germany,2. Bundesliga
